cluster	gene
Fibroblast(Aorta)	Plce1
Fibroblast(Aorta)	Ang
Fibroblast(Aorta)	Adam9
Fibroblast(Aorta)	Angptl4
Fibroblast(Aorta)	Aqp5
Fibroblast(Aorta)	Pi15
Fibroblast(Aorta)	Arhgap24
Fibroblast(Aorta)	Eln
Fibroblast(Aorta)	Lmo4
Fibroblast(Aorta)	Bhlhb9
Fibroblast(Aorta)	Fmo2
Fibroblast(Aorta)	Dag1
Fibroblast(Aorta)	Tm7sf3
Fibroblast(Aorta)	Rhbdf1
Fibroblast(Aorta)	Fam46a
Fibroblast(Aorta)	Pdia4
Fibroblast(Aorta)	Abcd3
Fibroblast(Aorta)	Srpx2
Fibroblast(Aorta)	Hlf
Fibroblast(Aorta)	Aox3
Fibroblast(Aorta)	Gaa
Fibroblast(Aorta)	Setbp1
Fibroblast(Aorta)	Maged2
Fibroblast(Aorta)	Rbfox2
Fibroblast(Aorta)	Stbd1
Fibroblast(Aorta)	Podn
Fibroblast(Aorta)	Col18a1
Fibroblast(Aorta)	Chst12
Fibroblast(Aorta)	Gprc5b
Fibroblast(Aorta)	Serf1
Fibroblast(Aorta)	Nab2
Fibroblast(Aorta)	Zcchc24
Fibroblast(Aorta)	Prrc1
Fibroblast(Aorta)	Adamtsl4
Fibroblast(Aorta)	Smpd3
Fibroblast(Aorta)	Khdrbs3
Fibroblast(Aorta)	Zfhx4
Fibroblast(Aorta)	Slc39a7
Fibroblast(Aorta)	Nr1d2
Fibroblast(Aorta)	Ugdh
Fibroblast(Aorta)	Pde1a
Fibroblast(Aorta)	Il17d
Fibroblast(Aorta)	Tmem98
Fibroblast(Aorta)	Mgp
Fibroblast(Aorta)	Ntrk2
Fibroblast(Aorta)	Gata6
Fibroblast(Aorta)	Cntfr
Fibroblast(Aorta)	Wfs1
Fibroblast(Aorta)	Ebf2
Fibroblast(Aorta)	Ephx1
Fibroblast(Aorta)	Sidt2
Fibroblast(Aorta)	Pbxip1
Fibroblast(Aorta)	Capns1
Fibroblast(Aorta)	Cldn10
Fibroblast(Aorta)	Wbp5
Fibroblast(Aorta)	Stt3b
Fibroblast(Aorta)	Hmgcs2
Fibroblast(Aorta)	Cbx6
Fibroblast(Aorta)	Pid1
Fibroblast(Aorta)	Fam102b
Fibroblast(Aorta)	Cdk14
