cluster	gene
Bladder cell(Bladder)	Nr4a2
Bladder cell(Bladder)	Gpsm3
Bladder cell(Bladder)	Glipr2
Bladder cell(Bladder)	Hoxa11
Bladder cell(Bladder)	Rian
Bladder cell(Bladder)	Kdelr2
Bladder cell(Bladder)	Antxr2
Bladder cell(Bladder)	Ptma
Bladder cell(Bladder)	Eng
Bladder cell(Bladder)	Smpdl3a
Bladder cell(Bladder)	Gnai1
Bladder cell(Bladder)	Atp1a2
Bladder cell(Bladder)	Tm7sf3
Bladder cell(Bladder)	Chst2
Bladder cell(Bladder)	Arhgap28
Bladder cell(Bladder)	Scn1b
Bladder cell(Bladder)	Ube2s
Bladder cell(Bladder)	Dbn1
Bladder cell(Bladder)	Metrnl
Bladder cell(Bladder)	Tbrg1
Bladder cell(Bladder)	0610007C21Rik
Bladder cell(Bladder)	Cd47
Bladder cell(Bladder)	Tshz3
Bladder cell(Bladder)	Gm973
Bladder cell(Bladder)	Cdkn2d
Bladder cell(Bladder)	Rftn2
Bladder cell(Bladder)	Mmp19
Bladder cell(Bladder)	Arid5b
Bladder cell(Bladder)	Palld
Bladder cell(Bladder)	Rasl11a
Bladder cell(Bladder)	Kdm6b
Bladder cell(Bladder)	Mtap7d1
Bladder cell(Bladder)	Col27a1
Bladder cell(Bladder)	Gaa
Bladder cell(Bladder)	Mgll
Bladder cell(Bladder)	Nap1l1
Bladder cell(Bladder)	Ptms
Bladder cell(Bladder)	Moxd1
Bladder cell(Bladder)	Ergic3
Bladder cell(Bladder)	Manf
Bladder cell(Bladder)	Tmem150a
Bladder cell(Bladder)	Slc39a7
Bladder cell(Bladder)	Cacnb3
Bladder cell(Bladder)	Msn
Bladder cell(Bladder)	B3gnt1
Bladder cell(Bladder)	Dse
Bladder cell(Bladder)	Slc16a2
Bladder cell(Bladder)	Gli1
Bladder cell(Bladder)	Olfm1
Bladder cell(Bladder)	Tnfaip3
Bladder cell(Bladder)	Zeb2
Bladder cell(Bladder)	Gm13889
Bladder cell(Bladder)	Il6
Bladder cell(Bladder)	Sec11a
Bladder cell(Bladder)	Impdh2
Bladder cell(Bladder)	Vwa1
Bladder cell(Bladder)	Dnajb9
Bladder cell(Bladder)	Sspn
Bladder cell(Bladder)	Tspan18
Bladder cell(Bladder)	Col4a5
Bladder cell(Bladder)	Zeb1
Bladder cell(Bladder)	Arid5a
Bladder cell(Bladder)	Rtn2
Bladder cell(Bladder)	Map3k8
Bladder cell(Bladder)	Tmem39a
Bladder cell(Bladder)	Morf4l1
Bladder cell(Bladder)	Slc43a3
Bladder cell(Bladder)	Ces2g
Bladder cell(Bladder)	Zbtb16
Bladder cell(Bladder)	Actg2
Bladder cell(Bladder)	Clec11a
Bladder cell(Bladder)	Spats2l
Bladder cell(Bladder)	Steap3
Bladder cell(Bladder)	Nhp2l1
Bladder cell(Bladder)	Serpina3g
Bladder cell(Bladder)	Irgm1
Bladder cell(Bladder)	Rassf1
Bladder cell(Bladder)	Clic4
Bladder cell(Bladder)	Tgfbr1
Bladder cell(Bladder)	Fstl3
Bladder cell(Bladder)	Lox
Bladder cell(Bladder)	C1qtnf6
Bladder cell(Bladder)	Lrpap1
Bladder cell(Bladder)	Dnajc3
Bladder cell(Bladder)	Tspo
Bladder cell(Bladder)	Tspan5
Bladder cell(Bladder)	4930583H14Rik
Bladder cell(Bladder)	Vat1
Bladder cell(Bladder)	Slc50a1
Bladder cell(Bladder)	Smad7
Bladder cell(Bladder)	Mylip
Bladder cell(Bladder)	Capn2
Bladder cell(Bladder)	P4hb
Bladder cell(Bladder)	Gdi2
Bladder cell(Bladder)	Thy1
Bladder cell(Bladder)	Itm2b
Bladder cell(Bladder)	Erf
Bladder cell(Bladder)	H2-Q4
Bladder cell(Bladder)	Soat1
Bladder cell(Bladder)	Tgfb3
Bladder cell(Bladder)	Map1lc3a
Bladder cell(Bladder)	Plscr4
Bladder cell(Bladder)	Xbp1
