Ependymal	Oligodendrocyte	Microglia	CA1Pyramidal	Interneuron	Endothelial	S1Pyramidal	Astrocyte	Mural
Bdh2	Bcap31	Ccr1	Ccdc85b	Cntnap3	Colgalt2	Cntnap5a	D630003M21Rik	Ldb3
Bicc1	Bet1	Ccr5	Ccdc88c	Col19a1	Cr1l	Cobl	D630033O11Rik	Lgals8
Bphl	Bfsp2	Cd14	Ccrn4l	Col25a1	Crlf2	Col5a1	Dbx2	Lingo4
Btbd8	Bpgm	Cd163	Cdc25b	Col26a1	Cthrc1	Col6a1	Dhrs4	Lipg
C1qtnf5	Btbd16	Cd200r1	Cdc40	Coprs	Ctla2a	Coro2a	Dhrs7	Lipo1
Capsl	Btc	Cd209f	Cdk17	Cox7b	Ctnnb1	Cpa2	Dscr3	Lmna
Car12	C030029H02Rik	Cd209g	Cds1	Crabp1	Ctsw	Cpne9	Dtna	Lmod1
Casc1	Cacna2d4	Cd300a	Celf1	Crhbp	Cxcl12	Crhr1	Dtx1	Map3k7cl
Catsperg1	Car2	Cd33	Celsr2	Cul7	Cxcr4	Cst6	Dzip1l	Marveld1
Ccdc103	Catsper2	Cd36	Chd3	Cxadr	Cyyr1	Cstad	E030003E18Rik	Melk
Ccdc108	Ccdc163	Cd37	Chrd	Cxx1c	D830031N03Rik	Cux1	Elmo2	Mir143hg
Ccdc113	Ccdc28b	Cd48	Chrm5	Cygb	Dach1	Cwh43	Elovl2	Mnd1
Ccdc114	Ccnjl	Cd53	Chst15	Dcaf7	Dcun1d3	Cyp26b1	Epb4.1l5	Mob2
Ccdc122	Ccnyl1	Cd68	Chst1	Diras1	Degs2	D430041D05Rik	Ephx2	Moxd1
Ccdc135	Ccp110	Cd83	Clcnka	Dlat	Dennd3	Dact2	Exoc3l4	Mprip
Ccdc146	Cdc37l1	Cd84	Cpne6	Dleu7	Disp1	Dkkl1	Eya1	Mrvi1
Ccdc147	Cdc42ep2	Cd86	Cpsf2	Dlx1	Dkk2	Doc2a	Fabp7	Mustn1
Ccdc148	Cdk18	Cebpa	Cpt1c	Dlx1os	Dok4	Dock3	Fam107a	Myh11
Ccdc153	Cdr2l	Cenpf	Crym	Dlx2	Dusp11	Dtl	Fam161b	Myl9
Ccdc176	Cenpq	Cep110	Csmd1	Dlx6	Eaf1	E130012A19Rik	Fam181a	Mylk
Ccdc17	Cep72	Cfhr2	Cstf3	Dlx6os1	Ece1	E130309D14Rik	Fam184a	Myocd
Ccdc19	Cep97	Cfp	Ctnnd2	Dnajc12	Edn1	E2f1	Fam184b	Myom1
Ccdc30	Cercam	Ch25h	Cys1	Dnajc27	Edn3	Emx1	Fam198a	Nab1
Ccdc34	Cers2	Clcn5	D430019H16Rik	Dnajc5	Efr3b	Epha8	Fam213a	Nexn
Ccdc37	Cfl2	Clec10a	D630045J12Rik	Dnajc6	Egfl7	Erc2	Farp1	Nrip2
Ccdc39	Chadl	Clec4a2	D8Ertd82e	Dnm3	Egfl8	Evi5	Fbrsl1	Obscn
Ccdc40	Chdh	Clec4a3	Dagla	Dpysl4	Eltd1	Exph5	Fbxo2	Olfr558
Ccdc65	Chmp1b	Clec4n	Dancr	Dpysl5	Emcn	Fam171a2	Fgfbp3	Olfr78
Ccdc81	Chn2	Clec5a	Dapk1	Dynll2	Eng	Fap	Fhit	P2rx1
Ccdc87	Chst3	Cmah	Dcakd	E130309F12Rik	Eogt	Fbxl2	Fmn2	Palld
Ccdc89	Clasrp	Cotl1	Dcbld1	E230016M11Rik	Ephb4	Fhod3	Frem2	Parp8
Ccdc96	Cldn11	Cradd	Dclk2	Ece2	Erap1	Fndc9	Frmpd1	Pask
Ccno	Cldn25	Creg1	Dcn	Eepd1	Ets2	Foxp2	Fzd10	Pde3a
Cd109	Clgn	Cryl1	Depdc7	Egln3	Etv6	Frzb	Fzd8	Pdlim1
Cd24a	Cnp	Csf1r	Diap3	Eif4a2	Exoc3l	Fst	Fzd9	Pdlim3
Cd55	Cntn2	Csf3r	Dio3	Elavl2	Fam101b	Fstl4	Gabrg1	Pgf
Cdkl4	Commd6	Csk	Dlgap4	Elfn1	Fam114a1	Gabbr2	Galnt4	Phtf2
Cdr2	Commd9	Ctsb	Doc2b	Elmo1	Fam129a	Galt	Gfap	Pla2r1
Celsr1	Cpd	Ctsc	Dock4	Elovl4	Fam13a	Gdpd5	Gldc	Plce1
Cenpo	Cpox	Ctsd	Dpf1	Emc9	Fbln2	Gfra2	Gli2	Plec
Cep128	Creb3l2	Ctss	Dpyd	Eme2	Fbln5	Gm10432	Glud1	Plin4
Cetn2	Cryab	Ctsz	Drd5	Entpd3	Fbxl7	Gm11549	Gm11696	Pln
Cetn4	Ctps	Cx3cr1	Dscaml1	Epb4.1l1	Fgd5	Gm12360	Gm20751	Polm
Chchd10	Cyb5	Cxcl10	Dtnbp1	Evl	Flnb	Gm13298_loc1	Gm266	Ppp1r12a
Chek2	Cyb5r2	Cxcl16	Dtwd1	Faim2	Flt1	Gm13298_loc2	Gm2a	Prox2
Cldn1	Cyp2j12	Cxcl1	Dusp4	Fam20c	Flt4	Gm13298_loc3	Gpam	Ptges3l
Clec3b	Cyp3a13	Cxcl2	E030013I19Rik	Fam216a	Fn1	Gm13298_loc4	Gpc2	Rasl11a
Cmtm4	D16Ertd472e	Cybb	E130008D07Rik	Fam63b	Foxl2	Gm13306_loc4	Gpc6	Rasl12
Cnn3	D7Ertd443e	Cysltr1	Efcab6	Fgf11	Foxq1	Gm13308_loc1	Gstm3	Rccd1
Col1a1	Dbndd2	Cyth4	Efr3a	Fgf18	Fyco1	Gm13308_loc4	Gucy2e	Rcn3
Col5a2	Dcps	D830030K20Rik_loc2	Eid1	Flot1	Fzd6	Gm13446	Gyk	Rnu11
Col6a2	Ddit4	Dab2	Elk1	Flrt3	Gabpb1	Gm1976	Gys1	Rock1
Col6a5	Ddrgk1	Dazap2	Epha6	Foxred2	Gata2	Gm20063	Hadhb	Ror1
Col7a1	Deb1	Dclre1c	Ephb2	Frmd7	Gimap4	Gm20878_loc1	Hdac8	Samd11
Col8a2	Degs1	Dennd1b	Etv1	Fstl5	Gimap5	Gm20878_loc4	Heph	Sapcd2
Col9a1	Depdc1b	Dennd1c	Evc2	Gabarapl1	Gimap8	Gm21586_loc1	Hey1	Serping1
Cox6b2	Desi1	Dhdh	Faah	Gad1	Gltscr1	Gm2694	Hif3a	Sgca
